 ,Segar-empty-easy-rgb-v0,Segar-empty-medium-rgb-v0,Segar-empty-hard-rgb-v0,Segar-objectsx1-easy-rgb-v0,Segar-objectsx2-easy-rgb-v0,Segar-objectsx3-easy-rgb-v0,Segar-objectsx1-medium-rgb-v0,Segar-objectsx2-medium-rgb-v0,Segar-objectsx3-medium-rgb-v0,Segar-objectsx1-hard-rgb-v0,Segar-objectsx2-hard-rgb-v0,Segar-objectsx3-hard-rgb-v0,Segar-tilesx1-easy-rgb-v0,Segar-tilesx2-easy-rgb-v0,Segar-tilesx3-easy-rgb-v0,Segar-tilesx1-medium-rgb-v0,Segar-tilesx2-medium-rgb-v0,Segar-tilesx3-medium-rgb-v0,Segar-tilesx1-hard-rgb-v0,Segar-tilesx2-hard-rgb-v0,Segar-tilesx3-hard-rgb-v0
Segar-empty-easy-rgb-v0,0.0,0.3545015584042484,0.4533439645710727,0.3752296150408585,0.505875761122917,0.6239043652432504,0.4949333815109299,0.5682427257873653,0.6641640023833754,0.6406721598359433,0.6887234940056859,0.7553785912803395,0.7564291597598374,0.9915644129875556,1.242952426459621,0.871059386558287,1.059402398150986,1.2852373771224748,0.9960602230158648,1.1802700784563394,1.3285795792734132
Segar-empty-medium-rgb-v0,0.35450155840424846,0.0,0.4402996862694244,0.5239062618884702,0.6365955804943908,0.7404669926409589,0.3933178847012474,0.5170191474518231,0.610888002228007,0.6302355647031925,0.6856938833294289,0.762641002938543,0.7729303736989925,0.9928867616873102,1.2338583480868397,0.8022563064621806,1.006719846233108,1.2385410438976305,0.9776972164066458,1.1621145580337715,1.3099861004544635
Segar-empty-hard-rgb-v0,0.4533439645710728,0.4402996862694244,0.0,0.5705868070306829,0.6666961500759521,0.7626328034935259,0.5570509071588524,0.6369854921841288,0.7180274863342367,0.4768464067069395,0.5714970319119941,0.6703676437365864,0.8378781441262777,1.0442971561765808,1.2770613570376093,0.8530878452897921,1.0314015721192138,1.2539193383126221,0.9075813607065619,1.109351001828335,1.2576816041352623
Segar-objectsx1-easy-rgb-v0,0.3752296150408585,0.5239062618884701,0.5705868070306829,0.0,0.304059084230464,0.3948701862704039,0.3942307980932235,0.43830015700864494,0.5070073855288886,0.5924295591469394,0.6126152358182239,0.6363022245664701,0.8367753873173321,1.0379802555635318,1.2364183728635052,0.9390855673460192,1.1015409731693249,1.315057957009064,1.043962138273092,1.2044521952865828,1.3453377118808172
Segar-objectsx2-easy-rgb-v0,0.505875761122917,0.6365955804943907,0.6666961500759522,0.30405908423046407,0.0,0.287700209650212,0.48406961724852204,0.3888240199901073,0.45542989409300816,0.6480863181259527,0.5904101604565827,0.6023574646271578,0.8853292898840659,1.0595778340543311,1.2651037094654247,0.9943308846508602,1.1333819871074284,1.3354347304160832,1.090203393106255,1.2327222695876334,1.3588286327602295
Segar-objectsx3-easy-rgb-v0,0.6239043652432504,0.7404669926409587,0.7626328034935257,0.39487018627040377,0.28770020965021204,0.0,0.5489176319222404,0.4477119784302678,0.4237654366333534,0.695601229258785,0.6314834150376327,0.5794030758751703,0.9510985690015585,1.096796287774234,1.2986447936352676,1.0522766075134147,1.1698995497482514,1.3613709107627885,1.1474271326016192,1.2688859097840284,1.4161668561044078
Segar-objectsx1-medium-rgb-v0,0.4949333815109299,0.3933178847012474,0.5570509071588524,0.3942307980932235,0.4840696172485221,0.5489176319222405,0.0,0.3271132375966591,0.3918584704837756,0.5663457154509599,0.5889960412799822,0.6232925049872196,0.8370027221166945,1.0048542380439391,1.2268067906037716,0.869835194835959,1.0432732297650824,1.260712494256946,1.0167273580611118,1.1860493969617838,1.338640149850366
Segar-objectsx2-medium-rgb-v0,0.5682427257873652,0.5170191474518231,0.6369854921841287,0.43830015700864494,0.38882401999010724,0.4477119784302678,0.32711323759665917,0.0,0.3019229638408788,0.6055588082197737,0.5441057391336891,0.5695506729225999,0.869114510679541,1.0409918407706253,1.221890294234917,0.9171935551135235,1.0657110671640087,1.2737488149950391,1.055358884770433,1.1807688431852017,1.3483269109141107
Segar-objectsx3-medium-rgb-v0,0.6641640023833755,0.6108880022280071,0.7180274863342366,0.5070073855288886,0.45542989409300805,0.42376543663335337,0.39185847048377553,0.3019229638408788,0.0,0.6498470442729959,0.588222636864515,0.5522530089696954,0.9168377245039977,1.0581858280628593,1.2452424893208511,0.9626153397883289,1.0930452815668106,1.2913799472815295,1.095808227599465,1.2207289970664772,1.360406398840045
Segar-objectsx1-hard-rgb-v0,0.6406721598359433,0.6302355647031925,0.47684640670693956,0.5924295591469394,0.6480863181259527,0.695601229258785,0.5663457154509599,0.6055588082197738,0.6498470442729961,0.0,0.3441851367308333,0.4167309673048077,0.9414986949602472,1.1058596884516494,1.3017880703613365,0.9479399082868427,1.0944210431869137,1.3030599651074215,0.8917072362327486,1.0637000723671524,1.2249950885794876
Segar-objectsx2-hard-rgb-v0,0.688723494005686,0.685693883329429,0.571497031911994,0.6126152358182239,0.5904101604565829,0.6314834150376327,0.5889960412799822,0.5441057391336892,0.5882226368645149,0.34418513673083323,0.0,0.33904697136557255,0.9392529329496865,1.1259365278421765,1.3116660775818436,0.9813839804917066,1.1118111661419678,1.313841567169956,0.9218808272979385,1.1108033917187974,1.2552694061219545
Segar-objectsx3-hard-rgb-v0,0.7553785912803394,0.7626410029385429,0.6703676437365865,0.6363022245664701,0.6023574646271579,0.5794030758751705,0.6232925049872197,0.5695506729226,0.5522530089696954,0.4167309673048078,0.3390469713655726,0.0,1.015541714488238,1.1604241940792757,1.3219920605489892,1.0309590251662837,1.1457847488299524,1.337802457830005,0.9797531311716675,1.1352670112369712,1.295082954533312
Segar-tilesx1-easy-rgb-v0,0.7609060069692969,0.7729303736989924,0.8378781441262771,0.8293333993316089,0.891135155081979,0.9483942694002235,0.8343893679890836,0.8755753794423509,0.9170407830437005,0.9418248915982684,0.9659164443680683,0.9804263369626453,0.03716260426176054,0.4869059915383097,0.6441711340294678,0.3850651063313057,0.6014204413853168,0.7488512313494387,0.5887867510151659,0.7448695770379807,0.8472297948749993
Segar-tilesx2-easy-rgb-v0,0.9745638997936433,0.99288676168731,1.044297156176581,1.0397833154104714,1.0742996522759802,1.104904013712667,1.003148114427406,1.0222041823542418,1.0694001791088747,1.0995445886786672,1.1210571291383684,1.1558128323201755,0.4718949391504368,0.18274033197685183,0.45886997169151544,0.5418614222290928,0.40764411470250744,0.587693200537436,0.7238862190045788,0.5892272959532503,0.7180303183630082
Segar-tilesx3-easy-rgb-v0,1.215817409051523,1.2338583480868401,1.2770613570376088,1.2683776340153121,1.248422310713249,1.2963488714898312,1.229653707169171,1.2327403193838857,1.233310422874698,1.310953856967875,1.3101504658033136,1.3296558363457684,0.6487063641371515,0.46171096401647116,0.22013044829637118,0.6806750737978949,0.5675592114362353,0.411074761901983,0.8389378228680608,0.6915169001520431,0.6111632329729167
Segar-tilesx1-medium-rgb-v0,0.8710593865582869,0.8022563064621804,0.8530878452897921,0.9390855673460191,0.99433088465086,1.052276607513415,0.8698351948359588,0.9171935551135235,0.962615339788329,0.9479399082868426,0.9813839804917066,1.0309590251662837,0.3829351482810403,0.562882861626208,0.7106269021567876,0.0,0.4960756057563352,0.6567365004178078,0.5355009828599009,0.6837600509749431,0.7739358040879196
Segar-tilesx2-medium-rgb-v0,1.0594023981509857,1.006719846233108,1.0314015721192138,1.1015409731693246,1.1333819871074284,1.1698995497482512,1.0432732297650822,1.0657110671640089,1.0930452815668108,1.0944210431869137,1.1118111661419674,1.1457847488299526,0.6003425842261524,0.40668037110623734,0.5515676031465022,0.49475114629899264,0.0,0.476776540762485,0.6868027593285442,0.5387298260949152,0.6460727216919943
Segar-tilesx3-medium-rgb-v0,1.2852373771224748,1.238541043897631,1.2539193383126221,1.3150579570090641,1.3354347304160832,1.3613709107627885,1.2607124942569459,1.2737488149950391,1.291379947281529,1.3030599651074213,1.3138415671699557,1.337802457830005,0.750721897544404,0.5838632782719597,0.4174171091200337,0.6560874006903531,0.47677654076248505,0.0,0.8117016385308394,0.6680896659305756,0.5501900159769616
Segar-tilesx1-hard-rgb-v0,1.0086979390968938,0.9776972164066458,0.9075813607065619,1.043962138273092,1.088431248842217,1.1402768406732162,1.029693723879795,1.0516897588559708,1.0960271250680036,0.8913405998312007,0.9326565330006195,0.9800618633562075,0.5889906452505628,0.7074000713529676,0.8348339518337258,0.5353618208549099,0.6849818825334141,0.8117364243900846,0.21189473361621133,0.5494157877803039,0.6633316148053264
Segar-tilesx2-hard-rgb-v0,1.1749851622926237,1.1621145580337715,1.109351001828335,1.2117228317143747,1.2312904032159515,1.2679975095654705,1.177228810135455,1.2061912866272821,1.2027088753341526,1.067011574577904,1.0912501970986572,1.1503713224941008,0.7349245860277365,0.5846980344548594,0.708618374300701,0.6992867556346913,0.5372268255228817,0.6656615242466877,0.5627450916961743,0.17919316406158975,0.5298102023594454
Segar-tilesx3-hard-rgb-v0,1.3477356404293208,1.3099861004544637,1.2576816041352623,1.3463119202874136,1.3610739492819903,1.380950055472063,1.3474813377978303,1.3493934173763298,1.3645159463994054,1.2440069726852996,1.2406716176067312,1.2816321520228033,0.8603097773054424,0.7122158784851562,0.6087517085260058,0.7991698600713933,0.646860104596514,0.5530209994632228,0.6753360364754287,0.5305705388600386,0.35453282304200934
